from,to,line,direction,time
111,112,1号线,往富锦路,2
112,111,1号线,往莘庄,3
112,113,1号线,往富锦路,2
113,112,1号线,往莘庄,2
113,114,1号线,往富锦路,3
114,113,1号线,往莘庄,3
114,115,1号线,往富锦路,3
115,114,1号线,往莘庄,4
115,116,1号线,往富锦路,3
116,115,1号线,往莘庄,3
116,117,1号线,往富锦路,3
117,116,1号线,往莘庄,3
117,118,1号线,往富锦路,3
118,117,1号线,往莘庄,3
118,119,1号线,往富锦路,3
119,118,1号线,往莘庄,3
119,120,1号线,往富锦路,3
120,119,1号线,往莘庄,3
120,121,1号线,往富锦路,2
121,120,1号线,往莘庄,2
121,122,1号线,往富锦路,3
122,121,1号线,往莘庄,3
122,123,1号线,往富锦路,4
123,122,1号线,往莘庄,3
123,124,1号线,往富锦路,2
124,123,1号线,往莘庄,3
124,125,1号线,往富锦路,2
125,124,1号线,往莘庄,2
125,126,1号线,往富锦路,26
126,125,1号线,往莘庄,2
126,127,1号线,往富锦路,3
127,126,1号线,往莘庄,3
127,128,1号线,往富锦路,3
128,127,1号线,往莘庄,3
128,129,1号线,往富锦路,2
129,128,1号线,往莘庄,2
129,130,1号线,往富锦路,3
130,129,1号线,往莘庄,3
130,131,1号线,往富锦路,3
131,130,1号线,往莘庄,3
131,132,1号线,往富锦路,3
132,131,1号线,往莘庄,3
132,133,1号线,往富锦路,3
133,132,1号线,往莘庄,3
133,134,1号线,往富锦路,3
134,133,1号线,往莘庄,3
134,135,1号线,往富锦路,3
135,134,1号线,往莘庄,3
135,136,1号线,往富锦路,3
136,135,1号线,往莘庄,3
136,137,1号线,往富锦路,3
137,136,1号线,往莘庄,3
137,138,1号线,往富锦路,3
138,137,1号线,往莘庄,3
234,235,2号线,往浦东1号2号航站楼,4
235,234,2号线,往国家会展中心,3
235,236,2号线,往浦东1号2号航站楼,2
236,235,2号线,往国家会展中心,2
236,237,2号线,往浦东1号2号航站楼,7
237,236,2号线,往国家会展中心,7
237,238,2号线,往浦东1号2号航站楼,3
238,237,2号线,往国家会展中心,3
238,239,2号线,往浦东1号2号航站楼,3
239,238,2号线,往国家会展中心,3
239,240,2号线,往浦东1号2号航站楼,3
240,239,2号线,往国家会展中心,3
240,241,2号线,往浦东1号2号航站楼,3
241,240,2号线,往国家会展中心,3
241,242,2号线,往浦东1号2号航站楼,3
242,241,2号线,往国家会展中心,4
242,243,2号线,往浦东1号2号航站楼,3
243,242,2号线,往国家会展中心,3
243,244,2号线,往浦东1号2号航站楼,3
244,243,2号线,往国家会展中心,3
244,245,2号线,往浦东1号2号航站楼,3
245,244,2号线,往国家会展中心,3
245,246,2号线,往浦东1号2号航站楼,3
246,245,2号线,往国家会展中心,3
246,247,2号线,往浦东1号2号航站楼,3
247,246,2号线,往国家会展中心,3
247,248,2号线,往浦东1号2号航站楼,3
248,247,2号线,往国家会展中心,3
248,249,2号线,往浦东1号2号航站楼,3
249,248,2号线,往国家会展中心,3
249,250,2号线,往浦东1号2号航站楼,3
250,249,2号线,往国家会展中心,4
250,251,2号线,往浦东1号2号航站楼,3
251,250,2号线,往国家会展中心,3
251,252,2号线,往浦东1号2号航站楼,3
252,251,2号线,往国家会展中心,2
252,253,2号线,往浦东1号2号航站楼,6
253,252,2号线,往国家会展中心,3
253,254,2号线,往浦东1号2号航站楼,3
254,253,2号线,往国家会展中心,3
254,255,2号线,往浦东1号2号航站楼,27
255,254,2号线,往国家会展中心,4
255,256,2号线,往浦东1号2号航站楼,5
256,255,2号线,往国家会展中心,3
